t,h,r,e,e
l,o,n,g
0,1,2,31
0,1,2,32
0,1,2,35
0,1,2,36
0,1,3,29
0,1,3,30
0,1,3,33
0,1,34,3
0,1,27,4
0,1,4,28
0,1,4,31
0,1,32,4
0,1,5,25
0,1,26,5
0,1,29,5
0,1,5,30
0,1,6,23
0,1,6,24
0,1,27,6
0,1,28,6
0,1,21,7
0,1,22,7
0,1,25,7
0,1,26,7
0,1,19,8
0,1,20,8
0,1,8,23
0,1,8,24
0,1,9,17
0,1,18,9
0,1,21,9
0,1,9,22
0,1,10,15
0,1,10,16
0,1,10,19
0,1,10,20
0,1,11,13
0,1,11,14
0,1,11,17
0,1,18,11
0,1,12,15
0,1,12,16
0,27,2,3
0,2,3,28
0,35,2,3
0,2,3,36
0,25,2,4
0,2,26,4
0,33,2,4
0,2,4,34
0,2,5,23
0,24,2,5
0,2,5,31
0,2,32,5
0,2,21,6
0,2,6,22
0,2,29,6
0,2,6,30
0,2,19,7
0,2,20,7
0,2,27,7
0,2,28,7
0,8,2,17
0,8,2,18
0,8,2,25
0,8,2,26
0,9,2,15
0,9,2,16
0,9,2,23
0,9,2,24
0,2,10,13
0,2,10,14
0,2,10,21
0,2,10,22
0,19,2,11
0,2,11,20
0,17,2,12
0,2,18,12
0,2,13,14
0,3,4,23
0,24,3,4
0,35,3,4
0,3,4,36
0,21,3,5
0,3,5,22
0,33,3,5
0,34,3,5
0,19,3,6
0,3,20,6
0,3,6,31
0,32,3,6
0,17,3,7
0,18,3,7
0,3,29,7
0,3,30,7
0,8,3,15
0,8,3,16
0,8,3,27
0,8,3,28
0,9,3,13
0,9,3,14
0,9,3,25
0,9,26,3
0,10,3,23
0,24,10,3
0,11,3,12
0,11,3,21
0,11,3,22
0,19,3,12
0,3,12,20
0,3,13,15
0,16,3,13
0,3,14,15
0,16,3,14
0,19,4,5
0,20,4,5
0,35,4,5
0,4,5,36
0,17,4,6
0,18,4,6
0,33,4,6
0,34,4,6
0,4,15,7
0,16,4,7
0,4,31,7
0,32,4,7
0,8,4,13
0,8,4,14
0,8,4,29
0,8,4,30
0,9,27,4
0,9,4,28
0,10,4,12
0,25,10,4
0,10,26,4
0,11,4,23
0,24,11,4
0,21,4,12
0,4,12,22
0,17,4,13
0,18,4,13
0,17,4,14
0,18,4,14
0,16,4,15
0,5,6,15
0,16,5,6
0,35,5,6
0,36,5,6
0,13,5,7
0,5,14,7
0,33,5,7
0,34,5,7
0,8,5,31
0,8,32,5
0,9,12,5
0,9,29,5
0,9,5,30
0,10,11,5
0,10,27,5
0,10,28,5
0,25,11,5
0,26,11,5
0,12,5,23
0,24,12,5
0,13,19,5
0,13,20,5
0,19,5,14
0,20,5,14
0,17,5,15
0,18,5,15
0,16,5,17
0,16,18,5
0,35,6,7
0,36,6,7
0,8,12,6
0,8,6,33
0,8,34,6
0,9,11,6
0,9,6,31
0,9,32,6
0,10,29,6
0,10,6,30
0,27,11,6
0,11,28,6
0,25,12,6
0,26,12,6
0,21,13,6
0,13,6,22
0,21,6,14
0,22,6,14
0,19,6,15
0,20,6,15
0,16,19,6
0,16,20,6
0,17,18,6
0,8,11,7
0,8,35,7
0,8,36,7
0,9,10,7
0,9,33,7
0,9,34,7
0,10,31,7
0,10,32,7
0,11,29,7
0,11,30,7
0,27,12,7
0,12,28,7
0,23,13,7
0,24,13,7
0,23,14,7
0,24,14,7
0,15,21,7
0,15,22,7
0,16,21,7
0,16,22,7
0,17,19,7
0,17,20,7
0,18,19,7
0,18,20,7
0,8,35,9
0,8,36,9
0,8,10,33
0,8,10,34
0,8,11,31
0,8,32,11
0,8,12,29
0,8,12,30
0,8,13,25
0,8,26,13
0,8,14,25
0,8,26,14
0,8,23,15
0,8,24,15
0,8,16,23
0,8,16,24
0,8,21,17
0,8,17,22
0,8,18,21
0,8,18,22
0,8,19,20
0,9,10,35
0,9,10,36
0,9,11,33
0,9,34,11
0,9,12,31
0,9,32,12
0,9,27,13
0,9,28,13
0,9,27,14
0,9,28,14
0,9,25,15
0,9,26,15
0,9,16,25
0,9,26,16
0,9,17,23
0,9,17,24
0,9,18,23
0,9,18,24
0,9,19,21
0,9,19,22
0,9,20,21
0,9,20,22
0,35,10,11
0,10,11,36
0,33,10,12
0,10,12,34
0,10,29,13
0,10,13,30
0,10,29,14
0,10,14,30
0,10,27,15
0,10,28,15
0,16,10,27
0,16,10,28
0,17,10,25
0,17,10,26
0,25,10,18
0,26,10,18
0,10,19,23
0,24,10,19
0,10,20,23
0,24,10,20
0,10,21,22
0,35,11,12
0,11,12,36
0,11,13,31
0,32,11,13
0,11,14,31
0,32,11,14
0,11,29,15
0,11,30,15
0,16,11,29
0,16,11,30
0,17,11,27
0,17,11,28
0,27,18,11
0,18,11,28
0,19,11,25
0,19,26,11
0,25,11,20
0,26,11,20
0,11,21,23
0,24,11,21
0,11,22,23
0,24,11,22
0,33,12,13
0,34,12,13
0,33,12,14
0,34,12,14
0,12,31,15
0,32,12,15
0,16,12,31
0,16,32,12
0,17,12,29
0,17,12,30
0,18,12,29
0,18,12,30
0,27,19,12
0,19,12,28
0,27,12,20
0,28,12,20
0,25,12,21
0,26,12,21
0,25,12,22
0,26,12,22
0,24,12,23
0,37,13,14
0,38,13,14
0,35,13,15
0,36,13,15
0,16,35,13
0,16,36,13
0,17,13,33
0,17,34,13
0,33,18,13
0,18,34,13
0,19,13,31
0,32,19,13
0,20,13,31
0,32,20,13
0,21,29,13
0,21,13,30
0,29,13,22
0,13,22,30
0,27,13,23
0,28,13,23
0,24,27,13
0,24,28,13
0,25,26,13
0,35,14,15
0,36,14,15
0,16,35,14
0,16,36,14
0,17,14,33
0,17,34,14
0,33,18,14
0,18,34,14
0,19,14,31
0,32,19,14
0,20,14,31
0,32,20,14
0,29,21,14
0,21,14,30
0,29,14,22
0,30,14,22
0,27,14,23
0,28,14,23
0,24,27,14
0,24,28,14
0,25,26,14
0,16,37,15
0,16,38,15
0,17,35,15
0,17,36,15
0,18,35,15
0,18,36,15
0,33,19,15
0,34,19,15
0,33,20,15
0,34,20,15
0,31,21,15
0,32,21,15
0,31,22,15
0,32,22,15
0,23,29,15
0,23,30,15
0,24,29,15
0,24,30,15
0,25,27,15
0,25,28,15
0,26,27,15
0,26,28,15
0,16,35,17
0,16,36,17
0,16,18,35
0,16,18,36
0,16,19,33
0,16,34,19
0,16,20,33
0,16,34,20
0,16,21,31
0,16,32,21
0,16,22,31
0,16,32,22
0,16,29,23
0,16,30,23
0,16,29,24
0,16,24,30
0,16,27,25
0,16,28,25
0,16,26,27
0,16,26,28
0,17,18,37
0,17,18,38
0,17,19,35
0,17,19,36
0,17,35,20
0,17,20,36
0,17,21,33
0,17,34,21
0,17,22,33
0,17,34,22
0,17,31,23
0,17,32,23
0,17,24,31
0,17,32,24
0,17,29,25
0,17,25,30
0,17,26,29
0,17,26,30
0,17,27,28
0,35,18,19
0,18,19,36
0,18,35,20
0,18,20,36
0,33,18,21
0,18,34,21
0,33,18,22
0,18,34,22
0,18,31,23
0,18,32,23
0,24,18,31
0,24,18,32
0,25,18,29
0,25,18,30
0,18,26,29
0,18,26,30
0,18,27,28
0,19,20,37
0,19,20,38
0,35,19,21
0,19,36,21
0,35,19,22
0,19,36,22
0,33,19,23
0,34,19,23
0,24,19,33
0,24,34,19
0,25,19,31
0,25,32,19
0,26,19,31
0,32,26,19
0,27,19,29
0,27,19,30
0,19,28,29
0,19,28,30
0,35,20,21
0,20,21,36
0,35,20,22
0,20,22,36
0,33,20,23
0,34,20,23
0,24,20,33
0,24,34,20
0,25,20,31
0,25,32,20
0,26,20,31
0,26,32,20
0,27,20,29
0,27,20,30
0,29,20,28
0,20,28,30
0,37,21,22
0,38,21,22
0,35,21,23
0,36,21,23
0,24,35,21
0,24,36,21
0,25,21,33
0,25,34,21
0,33,26,21
0,26,34,21
0,27,21,31
0,32,27,21
0,28,21,31
0,32,28,21
0,29,21,30
0,35,22,23
0,36,22,23
0,24,35,22
0,24,36,22
0,25,22,33
0,25,34,22
0,33,26,22
0,26,34,22
0,27,22,31
0,32,27,22
0,28,22,31
0,32,28,22
0,29,22,30
0,24,37,23
0,24,38,23
0,25,35,23
0,25,36,23
0,26,35,23
0,26,36,23
0,33,27,23
0,34,27,23
0,33,28,23
0,34,28,23
0,31,29,23
0,32,29,23
0,31,30,23
0,32,30,23
0,24,35,25
0,24,36,25
0,24,26,35
0,24,26,36
0,24,27,33
0,24,34,27
0,24,28,33
0,24,34,28
0,24,29,31
0,24,32,29
0,24,30,31
0,24,32,30
0,25,26,37
0,25,26,38
0,25,27,35
0,25,27,36
0,25,35,28
0,25,28,36
0,25,29,33
0,25,34,29
0,25,30,33
0,25,34,30
0,25,32,31
0,35,26,27
0,26,27,36
0,26,35,28
0,26,28,36
0,33,26,29
0,26,34,29
0,33,26,30
0,26,34,30
0,26,32,31
0,27,28,37
0,27,28,38
0,35,27,29
0,27,36,29
0,35,27,30
0,27,36,30
0,33,27,31
0,34,27,31
0,33,32,27
0,32,27,34
0,35,28,29
0,28,29,36
0,35,28,30
0,28,30,36
0,33,28,31
0,34,28,31
0,33,32,28
0,32,28,34
0,37,29,30
0,38,29,30
0,35,29,31
0,36,29,31
0,32,35,29
0,32,36,29
0,33,34,29
0,35,30,31
0,36,30,31
0,32,35,30
0,32,36,30
0,33,34,30
0,32,37,31
0,32,38,31
0,33,35,31
0,33,36,31
0,34,35,31
0,34,36,31
0,33,32,35
0,33,32,36
0,32,35,34
0,32,34,36
0,33,34,37
0,33,34,38
0,33,35,36
0,34,35,36
0,35,36,37
0,35,36,38
1,2,3,29
1,2,3,30
1,2,3,33
1,2,3,34
1,2,3,37
1,2,3,38
1,2,27,4
1,2,4,28
1,2,4,31
32,1,2,4
1,2,5,25
1,2,26,5
1,2,29,5
1,2,5,30
1,2,6,23
24,1,2,6
1,2,27,6
1,2,28,6
1,2,21,7
1,2,22,7
1,2,25,7
1,2,26,7
8,1,2,19
8,1,2,20
8,1,2,23
8,1,2,24
1,2,9,17
1,2,18,9
1,2,21,9
1,2,9,22
1,2,10,15
16,1,2,10
19,1,2,10
1,2,10,20
1,2,11,13
1,2,11,14
1,2,11,17
18,1,2,11
1,2,12,15
16,1,2,12
1,3,4,25
1,26,3,4
1,3,4,33
1,34,3,4
1,3,4,37
1,3,4,38
1,3,5,23
24,1,3,5
1,3,5,31
32,1,3,5
1,3,21,6
1,3,6,22
1,3,29,6
1,3,6,30
19,1,3,7
1,3,20,7
27,1,3,7
1,3,28,7
8,1,3,17
8,1,18,3
8,1,3,25
8,1,26,3
1,3,9,15
16,1,3,9
1,3,9,23
24,1,3,9
1,10,3,13
1,10,3,14
1,10,3,21
1,10,3,22
11,1,3,19
11,1,3,20
1,3,12,17
1,18,3,12
1,3,13,14
1,21,4,5
1,4,5,22
1,4,5,33
1,34,4,5
1,37,4,5
1,4,5,38
1,19,4,6
1,4,20,6
1,4,6,31
32,1,4,6
1,4,17,7
1,18,4,7
1,4,29,7
1,4,30,7
8,1,4,15
8,1,4,16
8,1,27,4
8,1,4,28
1,4,13,9
1,4,9,14
1,4,9,25
1,26,4,9
1,10,4,23
24,1,10,4
1,11,4,12
1,11,4,21
1,11,4,22
1,19,4,12
1,20,4,12
1,4,13,15
16,1,4,13
1,4,14,15
16,1,4,14
1,5,6,17
1,18,5,6
1,5,6,33
1,34,5,6
1,37,5,6
38,1,5,6
1,15,5,7
16,1,5,7
1,31,5,7
32,1,5,7
8,1,13,5
8,1,5,14
8,1,29,5
8,1,5,30
1,27,5,9
1,28,5,9
1,10,12,5
1,10,5,25
1,10,26,5
1,11,5,23
24,1,11,5
1,21,12,5
1,12,5,22
1,13,5,17
1,13,18,5
1,5,14,17
1,18,5,14
16,1,5,15
1,13,6,7
1,14,6,7
1,33,6,7
1,34,6,7
1,37,6,7
38,1,6,7
8,1,6,31
8,1,32,6
1,12,6,9
1,29,6,9
1,30,6,9
1,10,11,6
1,10,27,6
1,10,28,6
1,11,6,25
1,26,11,6
1,12,6,23
24,1,12,6
1,19,13,6
1,20,13,6
1,19,6,14
1,20,6,14
1,17,6,15
1,18,6,15
16,1,6,17
16,1,18,6
8,1,12,7
8,1,33,7
8,1,34,7
8,1,37,7
8,1,38,7
1,11,9,7
1,31,9,7
32,1,9,7
1,10,29,7
1,10,30,7
27,1,11,7
1,11,28,7
1,12,25,7
1,26,12,7
1,21,13,7
1,13,22,7
1,21,14,7
1,22,14,7
1,19,15,7
1,15,20,7
16,1,19,7
16,1,20,7
1,18,17,7
8,1,10,9
8,1,9,33
8,1,34,9
8,1,37,9
8,1,9,38
8,1,10,31
8,1,10,32
8,1,11,29
8,1,11,30
8,1,27,12
8,1,12,28
8,1,13,23
8,1,13,24
8,1,14,23
8,1,14,24
8,1,21,15
8,1,22,15
8,1,21,16
8,1,16,22
8,1,19,17
8,1,20,17
8,1,18,19
8,1,18,20
1,10,9,33
1,10,34,9
1,10,37,9
38,1,10,9
1,11,9,31
32,1,11,9
1,12,29,9
1,12,9,30
1,13,9,25
1,26,13,9
1,25,9,14
1,26,9,14
1,23,9,15
24,1,9,15
16,1,9,23
16,1,9,24
1,21,9,17
1,22,9,17
1,18,21,9
1,18,9,22
1,19,20,9
1,10,11,33
1,10,11,34
1,10,11,37
1,10,11,38
1,10,12,31
32,1,10,12
1,10,27,13
1,10,28,13
1,10,27,14
1,10,28,14
1,10,25,15
1,10,26,15
16,1,10,25
16,1,10,26
1,10,17,23
24,1,10,17
1,10,18,23
24,1,10,18
1,10,19,21
1,10,19,22
1,10,20,21
1,10,20,22
1,11,12,33
1,34,11,12
1,11,12,37
1,11,12,38
1,29,11,13
1,11,13,30
1,11,29,14
1,11,14,30
27,1,11,15
1,11,28,15
16,1,11,27
16,1,11,28
1,11,17,25
1,26,11,17
1,18,11,25
26,1,18,11
19,1,11,23
19,1,11,24
1,11,20,23
24,1,11,20
1,11,21,22
1,12,13,31
32,1,12,13
1,12,14,31
32,1,12,14
1,12,29,15
1,12,30,15
16,1,12,29
16,1,12,30
1,27,12,17
1,12,28,17
1,18,27,12
1,18,12,28
1,19,12,25
1,26,19,12
1,12,20,25
1,26,12,20
1,12,21,23
24,1,12,21
1,12,22,23
24,1,12,22
1,35,13,14
1,36,13,14
1,33,13,15
1,34,13,15
1,37,13,15
1,13,38,15
16,1,13,33
16,1,34,13
16,1,37,13
16,1,13,38
1,13,17,31
32,1,13,17
1,18,13,31
32,1,18,13
1,29,19,13
1,19,13,30
1,29,20,13
1,20,13,30
1,21,27,13
1,21,28,13
1,27,13,22
1,28,13,22
1,13,25,23
1,26,13,23
24,1,13,25
24,1,26,13
1,33,14,15
1,34,14,15
1,37,14,15
38,1,14,15
16,1,14,33
16,1,34,14
16,1,37,14
16,1,14,38
1,31,14,17
32,1,14,17
1,18,14,31
32,1,18,14
1,19,29,14
1,19,14,30
1,20,29,14
1,20,14,30
1,27,21,14
1,28,21,14
1,27,14,22
1,28,14,22
1,25,14,23
1,26,14,23
24,1,14,25
24,1,26,14
16,1,35,15
16,1,36,15
1,33,17,15
1,34,17,15
1,37,17,15
38,1,17,15
1,18,33,15
1,18,34,15
1,18,37,15
1,18,38,15
1,19,31,15
32,1,19,15
1,20,31,15
32,1,20,15
1,29,21,15
1,21,30,15
1,29,22,15
1,30,22,15
1,27,23,15
1,23,28,15
24,1,27,15
24,1,28,15
1,26,25,15
16,1,17,33
16,1,34,17
16,1,37,17
16,1,17,38
16,1,18,33
16,1,18,34
16,1,18,37
16,1,18,38
16,1,19,31
16,1,32,19
16,1,20,31
16,1,32,20
16,1,29,21
16,1,21,30
16,1,29,22
16,1,22,30
16,1,27,23
16,1,28,23
16,1,27,24
16,1,28,24
16,1,26,25
1,18,35,17
1,18,36,17
1,19,17,33
1,34,19,17
1,19,37,17
38,1,19,17
1,20,17,33
1,34,20,17
1,20,37,17
38,1,20,17
1,21,17,31
32,1,21,17
1,31,17,22
32,1,17,22
1,29,17,23
1,30,17,23
24,1,29,17
24,1,17,30
1,27,17,25
1,28,17,25
1,26,27,17
1,26,28,17
1,18,19,33
1,18,19,34
1,18,19,37
1,18,19,38
1,18,20,33
1,18,20,34
1,18,20,37
1,18,20,38
1,18,21,31
32,1,18,21
1,18,22,31
32,1,18,22
1,18,29,23
1,18,30,23
24,1,18,29
24,1,18,30
1,18,27,25
1,18,28,25
27,1,18,26
1,18,26,28
1,19,20,35
1,19,20,36
1,19,21,33
1,34,19,21
37,1,19,21
1,19,21,38
1,19,22,33
1,34,19,22
1,19,37,22
38,1,19,22
1,19,31,23
32,1,19,23
24,1,19,31
24,1,32,19
1,19,29,25
1,19,25,30
1,26,19,29
1,26,19,30
27,1,19,28
1,20,21,33
1,34,20,21
1,37,20,21
1,20,21,38
1,20,22,33
1,34,20,22
1,20,37,22
38,1,20,22
1,20,31,23
32,1,20,23
24,1,20,31
24,1,32,20
1,20,29,25
1,20,25,30
1,26,20,29
1,26,20,30
1,27,20,28
1,35,21,22
1,36,21,22
1,33,21,23
1,34,21,23
1,37,21,23
1,21,38,23
24,1,21,33
24,1,34,21
24,1,37,21
24,1,21,38
1,21,25,31
32,1,21,25
1,26,21,31
32,1,26,21
1,29,27,21
1,27,21,30
1,29,28,21
1,28,21,30
1,33,22,23
1,34,22,23
1,37,22,23
38,1,22,23
24,1,22,33
24,1,34,22
24,1,37,22
24,1,22,38
1,31,22,25
32,1,22,25
1,26,22,31
32,1,26,22
1,27,29,22
1,27,22,30
1,28,29,22
1,28,22,30
24,1,35,23
24,1,36,23
1,33,25,23
1,34,25,23
1,37,25,23
38,1,25,23
1,26,33,23
1,26,34,23
1,26,37,23
1,26,38,23
1,27,31,23
32,1,27,23
1,28,31,23
32,1,28,23
1,29,30,23
24,1,25,33
24,1,34,25
24,1,37,25
24,1,25,38
24,1,26,33
24,1,26,34
24,1,26,37
24,1,26,38
24,1,27,31
24,1,32,27
24,1,28,31
24,1,32,28
24,1,29,30
1,26,35,25
1,26,36,25
1,27,25,33
1,34,27,25
1,27,37,25
38,1,27,25
1,28,25,33
1,34,28,25
1,28,37,25
38,1,28,25
1,29,25,31
32,1,29,25
1,31,25,30
32,1,25,30
1,26,27,33
1,26,27,34
1,26,27,37
1,26,27,38
1,26,28,33
1,26,28,34
1,26,28,37
1,26,28,38
1,26,29,31
32,1,26,29
1,26,30,31
32,1,26,30
1,27,28,35
1,27,28,36
1,27,29,33
1,34,27,29
37,1,27,29
1,27,29,38
1,27,30,33
1,34,27,30
1,27,37,30
38,1,27,30
32,1,27,31
1,28,29,33
1,34,28,29
1,37,28,29
1,28,29,38
1,28,30,33
1,34,28,30
1,28,37,30
38,1,28,30
32,1,28,31
1,35,29,30
1,36,29,30
1,33,29,31
1,34,29,31
1,37,29,31
1,29,38,31
32,1,29,33
32,1,34,29
32,1,37,29
32,1,29,38
1,33,30,31
1,34,30,31
1,37,30,31
38,1,30,31
32,1,30,33
32,1,34,30
32,1,37,30
32,1,30,38
32,1,35,31
32,1,36,31
1,34,33,31
1,33,37,31
1,33,38,31
1,34,37,31
1,34,38,31
32,1,34,33
32,1,37,33
32,1,38,33
32,1,34,37
32,1,34,38
1,34,35,33
1,34,36,33
1,35,37,33
1,35,38,33
1,36,37,33
1,36,38,33
1,34,35,37
1,34,35,38
1,34,36,37
1,34,36,38
1,35,37,38
1,36,37,38
27,2,3,4
2,3,4,28
2,3,4,31
32,2,3,4
35,2,3,4
2,3,4,36
25,2,3,5
26,2,3,5
29,2,3,5
2,3,5,30
37,2,3,5
2,3,5,38
2,3,6,23
24,2,3,6
27,2,3,6
2,3,28,6
2,3,21,7
2,3,22,7
25,2,3,7
26,2,3,7
8,19,2,3
8,2,3,20
8,2,3,23
8,24,2,3
9,2,3,17
18,9,2,3
9,2,3,21
9,2,3,22
10,2,3,15
10,16,2,3
10,19,2,3
10,2,3,20
11,2,3,13
11,2,3,14
11,17,2,3
11,18,2,3
2,3,12,15
16,2,3,12
2,4,5,23
24,2,4,5
2,4,5,31
32,2,4,5
2,35,4,5
2,4,5,36
2,4,21,6
2,4,6,22
2,4,29,6
2,4,6,30
2,4,37,6
38,2,4,6
2,19,4,7
2,4,20,7
2,27,4,7
2,4,28,7
8,17,2,4
8,2,18,4
8,25,2,4
8,2,26,4
9,2,4,15
16,9,2,4
9,2,4,23
24,9,2,4
2,10,4,13
2,10,4,14
2,10,4,21
2,10,4,22
19,2,11,4
2,11,4,20
17,2,4,12
2,18,4,12
2,4,13,14
2,19,5,6
2,20,5,6
2,5,6,31
32,2,5,6
2,35,5,6
2,36,5,6
17,2,5,7
2,18,5,7
2,29,5,7
2,5,30,7
2,37,5,7
2,5,38,7
8,2,5,15
8,16,2,5
8,2,27,5
8,2,28,5
9,2,13,5
9,2,5,14
9,2,5,25
9,2,26,5
2,10,5,23
24,2,10,5
2,11,12,5
21,2,11,5
2,11,5,22
2,19,12,5
2,20,12,5
2,13,5,15
16,2,13,5
2,5,14,15
16,2,5,14
2,15,6,7
16,2,6,7
2,31,6,7
32,2,6,7
2,35,6,7
2,36,6,7
8,2,13,6
8,2,6,14
8,2,29,6
8,2,6,30
8,2,37,6
8,38,2,6
9,2,27,6
9,2,28,6
2,10,12,6
25,2,10,6
26,2,10,6
2,11,6,23
24,2,11,6
2,12,21,6
2,12,6,22
17,2,13,6
2,18,13,6
17,2,6,14
2,18,6,14
16,2,6,15
8,2,31,7
8,2,32,7
8,2,35,7
8,2,36,7
9,2,12,7
9,2,29,7
9,2,30,7
9,2,37,7
9,2,38,7
11,2,10,7
27,2,10,7
2,10,28,7
25,2,11,7
26,2,11,7
2,12,23,7
24,2,12,7
2,19,13,7
2,20,13,7
2,19,14,7
2,20,14,7
17,2,15,7
2,18,15,7
16,17,2,7
16,2,18,7
8,9,2,11
8,9,2,31
8,9,2,32
8,9,2,35
8,9,2,36
8,2,10,29
8,2,10,30
8,2,10,37
8,2,10,38
8,27,2,11
8,2,11,28
8,25,2,12
8,2,26,12
8,2,21,13
8,2,13,22
8,2,21,14
8,2,14,22
8,2,19,15
8,2,20,15
8,16,2,19
8,16,2,20
8,17,2,18
9,2,10,31
32,9,2,10
9,2,10,35
9,2,10,36
9,2,11,29
9,2,11,30
9,2,11,37
9,2,11,38
9,2,27,12
9,2,12,28
9,2,13,23
24,9,2,13
9,2,14,23
24,9,2,14
9,2,21,15
9,2,22,15
16,9,2,21
16,9,2,22
9,2,19,17
9,2,20,17
19,9,2,18
9,2,18,20
11,2,10,31
11,32,2,10
11,35,2,10
11,2,10,36
2,10,12,29
2,10,12,30
2,10,12,37
2,10,12,38
25,2,10,13
26,2,10,13
25,2,10,14
26,2,10,14
2,10,23,15
24,2,10,15
16,2,10,23
16,24,2,10
17,2,10,21
17,2,10,22
18,2,10,21
18,2,10,22
19,2,10,20
2,11,12,31
32,2,11,12
35,2,11,12
2,11,12,36
27,2,11,13
2,11,28,13
27,2,11,14
2,11,28,14
25,2,11,15
26,2,11,15
16,25,2,11
16,26,2,11
17,2,11,23
24,17,2,11
18,2,11,23
18,24,2,11
19,2,11,21
19,2,11,22
2,11,20,21
2,11,20,22
2,29,12,13
2,12,13,30
2,37,12,13
2,12,13,38
2,12,29,14
2,12,14,30
2,12,37,14
38,2,12,14
2,27,12,15
2,12,28,15
16,2,27,12
16,2,12,28
17,2,12,25
17,2,26,12
25,2,18,12
26,2,18,12
2,19,12,23
24,2,19,12
2,12,20,23
24,2,12,20
2,12,21,22
33,2,13,14
2,34,13,14
2,31,13,15
32,2,13,15
2,35,13,15
2,36,13,15
16,2,13,31
16,2,32,13
16,2,35,13
16,2,36,13
17,2,29,13
17,2,13,30
17,2,37,13
17,2,13,38
29,2,18,13
2,18,13,30
37,2,18,13
2,18,13,38
27,2,19,13
2,19,28,13
2,27,20,13
2,28,20,13
25,2,21,13
26,2,21,13
25,2,13,22
2,26,13,22
24,2,13,23
2,31,14,15
32,2,14,15
2,35,14,15
2,36,14,15
16,2,14,31
16,2,32,14
16,2,35,14
16,2,36,14
17,2,29,14
17,2,14,30
17,2,37,14
38,17,2,14
2,18,29,14
2,18,14,30
2,18,37,14
38,2,18,14
27,2,19,14
2,19,28,14
2,27,20,14
2,20,28,14
25,2,21,14
2,26,21,14
25,2,14,22
2,26,14,22
24,2,14,23
16,33,2,15
16,2,34,15
17,2,31,15
32,17,2,15
17,2,35,15
17,2,36,15
2,18,31,15
32,2,18,15
35,2,18,15
2,18,36,15
2,19,29,15
2,19,30,15
2,19,37,15
2,19,38,15
2,20,29,15
2,20,30,15
2,20,37,15
2,20,38,15
2,27,21,15
2,28,21,15
2,27,22,15
2,28,22,15
25,2,23,15
2,26,23,15
24,25,2,15
24,2,26,15
16,17,2,31
16,17,2,32
16,17,2,35
16,17,2,36
16,2,18,31
16,32,2,18
16,35,2,18
16,2,18,36
16,2,19,29
16,2,19,30
16,2,19,37
16,2,19,38
16,2,20,29
16,2,20,30
16,2,20,37
16,2,20,38
16,2,27,21
16,2,28,21
16,2,27,22
16,2,28,22
16,25,2,23
16,2,26,23
16,24,2,25
16,24,2,26
17,2,18,33
17,2,18,34
17,2,19,31
32,17,2,19
17,2,19,35
17,2,19,36
17,2,20,31
32,17,2,20
17,2,35,20
17,2,20,36
17,2,29,21
17,2,21,30
17,2,37,21
17,2,21,38
17,2,29,22
17,2,22,30
